Day,Month,Year,Delhi
1,January,2018,69.97
2,January,2018,69.97
3,January,2018,69.97
4,January,2018,69.97
5,January,2018,69.99
6,January,2018,70.13
7,January,2018,70.28
8,January,2018,70.43
9,January,2018,70.53
10,January,2018,70.62
11,January,2018,70.66
12,January,2018,70.73
13,January,2018,70.92
14,January,2018,71.06
15,January,2018,71.18
16,January,2018,71.27
17,January,2018,71.39
18,January,2018,71.56
19,January,2018,71.7
20,January,2018,71.89
21,January,2018,72.08
22,January,2018,72.23
23,January,2018,72.38
24,January,2018,72.43
25,January,2018,72.49
26,January,2018,72.63
27,January,2018,72.72
28,January,2018,72.77
29,January,2018,72.84
30,January,2018,72.92
31,January,2018,72.92
1,February,2018,73.05
2,February,2018,73.1
3,February,2018,73.09
4,February,2018,73.16
5,February,2018,73.31
6,February,2018,73.38
7,February,2018,73.38
8,February,2018,73.37
9,February,2018,73.35
10,February,2018,73.33
11,February,2018,73.22
12,February,2018,73.01
13,February,2018,72.94
14,February,2018,72.94
15,February,2018,72.79
16,February,2018,72.52
17,February,2018,72.23
18,February,2018,72.07
19,February,2018,71.92
20,February,2018,71.73
21,February,2018,71.72
22,February,2018,71.7
23,February,2018,71.61
24,February,2018,71.52
25,February,2018,71.5
26,February,2018,71.53
27,February,2018,71.51
28,February,2018,71.51
1,March,2018,71.57
2,March,2018,71.75
3,March,2018,72
4,March,2018,72.26
5,March,2018,72.32
6,March,2018,72.39
7,March,2018,72.39
8,March,2018,72.39
9,March,2018,72.43
10,March,2018,72.46
11,March,2018,72.48
12,March,2018,72.45
13,March,2018,72.47
14,March,2018,72.47
15,March,2018,72.45
16,March,2018,72.37
17,March,2018,72.27
18,March,2018,72.2
19,March,2018,72.19
20,March,2018,72.2
21,March,2018,72.2
22,March,2018,72.26
23,March,2018,72.3
24,March,2018,72.38
25,March,2018,72.55
26,March,2018,72.79
27,March,2018,72.9
28,March,2018,72.9
29,March,2018,73.08
30,March,2018,73.31
31,March,2018,73.55
1,April,2018,73.73
2,April,2018,73.83
3,April,2018,73.95
4,April,2018,73.95
5,April,2018,73.98
6,April,2018,73.98
7,April,2018,74
8,April,2018,74.03
9,April,2018,73.99
10,April,2018,73.98
11,April,2018,73.98
12,April,2018,73.94
13,April,2018,73.91
14,April,2018,73.93
15,April,2018,73.98
16,April,2018,74.02
17,April,2018,74.02
18,April,2018,74.02
19,April,2018,74.07
