Sl.no,Vehicle,Mileage,Tank_cap,Reserve_cap,Engine_cap,D_dist,W_dist,Refill_period,Last_refill,Refill_qty,Amt
1,Activa 3G,40.0,5.0,1.0,110.0,32.0,10.0,7,2,4.0,280.0
2,Honda hornet,50.0,12.0,1.0,160.0,22.0,0.0,21,7,12.0,700.0
3,Bajaj Pulsar 150,30.0,10.0,2.0,150.0,10.0,12.0,1,1,0.5,33.0
4,2013,45.0,5.0,1.0,150.0,30.0,256.0,1,1,1.2,67.0
5,Pulsar 150,40.0,15.0,2.0,149.5,5.0,60.0,7,3,2.0,467.0
6,Suzuki Gixxer,28.0,10.0,2.0,150.0,16.0,60.0,15,8,7.6,900.0
7,Bullet,35.0,13.5,2.5,350.0,10.0,100.0,4,6,2.0,107.0
8,Activa ,40.0,5.3,1.0,110.0,18.0,60.0,6,4,2.74,160.0
9,KTM390,25.0,13.5,3.0,390.0,20.0,150.0,4,3,3.0,240.0
10,RE Classic 350,31.0,13.0,2.0,350.0,15.0,5.0,4,1,2.7,107.0
11,Honda Grazia 125,38.0,5.0,1.5,125.0,36.0,150.0,3,1,1.0,160.0
12,Royal Enfield Standard 350,30.0,13.5,3.5,350.0,45.0,500.0,5,4,7.0,133.0
13,Yamaha Ray Z,62.0,5.0,1.0,113.0,18.0,4.0,1,0,1.0,67.0
14,Honda Unicorn,40.0,13.0,1.5,150.0,30.0,250.0,4,1,5.48,333.0
15,2015,40.0,9.0,1.0,200.0,30.0,40.0,15,10,6.5,750.0
16,TVS Wego ,50.0,4.0,1.0,150.0,10.0,100.0,7,2,2.0,117.0
17,Honda Activa 4g,45.0,5.2,0.75,110.0,50.0,150.0,1,2,2.0,53.0
18,NS200 ,33.0,10.0,2.0,199.5,20.0,200.0,2,2,10.0,200.0
19,Dio,40.0,5.3,1.5,110.0,24.0,50.0,1,7,4.79,33.0
20,Dio,35.0,5.3,1.5,110.0,12.0,12.0,7,2,3.8,350.0
21,TVS Jupiter ,45.0,5.0,1.0,120.0,20.0,90.0,7,2,1.37,280.0
22,Rc 200,25.0,9.5,1.0,200.0,12.0,75.0,4,1,4.0,200.0
23,R15,35.0,11.5,2.5,155.0,11.0,70.0,7,3,3.0,187.0
24,Ns 200 BS 4,34.0,12.0,2.0,199.9,30.0,800.0,14,6,10.0,933.0
25,Activa ,52.0,5.0,0.5,110.0,15.0,25.0,12,5,5.0,260.0
26,Avenger 220,30.0,13.0,3.0,220.0,20.0,100.0,4,4,7.0,267.0
27,Sr150,25.0,6.0,1.0,150.0,11.0,20.0,4,3,6.0,173.0
28,2016,38.0,6.5,1.5,110.0,40.0,350.0,2,2,4.79,200.0
29,Fzs,45.0,12.0,2.5,149.0,60.0,0.0,3,1,4.11,200.0
30,r15,40.0,12.0,2.0,150.0,45.0,0.0,2,10,10.0,100.0
31,Rx100,30.0,11.0,2.0,100.0,10.0,5.0,3,2,5.0,200.0
32,Avenger,40.0,13.0,2.0,160.0,30.0,55.0,3,1,1.0,250.0
33,Ninja 300,20.0,17.0,4.0,300.0,5.0,20.0,5,1,4.0,500.0
34,Duke 390,25.0,13.0,2.0,390.0,10.0,0.0,4,6,10.0,333.0
35,TVS Apache RTR 180,30.0,12.0,2.0,180.0,12.0,10.0,3,1,6.0,150.0
36,Yamaha crux,60.0,11.0,2.0,100.0,10.0,0.0,1,20,8.0,33.0
37,Rs 200,30.0,12.0,2.0,200.0,8.0,0.0,1,8,10.0,50.0
38,Royal Enfield Classic 350,35.0,12.0,2.0,350.0,13.0,5.0,3,2,2.0,200.0
39,Royal Enfield Classic 350,35.0,12.0,2.0,350.0,13.0,5.0,3,2,2.0,200.0
